filename,extension,detected_type,file_size_kb,width,height,has_exif,has_gps,latitude,longitude,camera_make,camera_model,datetime_original,page_count,sha256_hash
0d6acd100ead1972399785c5d29f18bf.jpg,.jpg,jpg,14.07,264,392,False,False,,,,,,,482c41779c9cc323...
0d782978ca184481f678aab31bee048f.pdf,.pdf,pdf,5672.78,,,False,False,,,,,,1,f3d7f58fa5d569ee...
0d83636248f8de88c7c832fb06cc10a0.jpg,.jpg,jpg,43.67,526,692,False,False,,,,,,,6ad53c5d4f6c8cc1...
0d959d53d2170d8c57eb94252d5a47a7.jpg,.jpg,jpg,156.97,720,866,False,False,,,,,,,69e7751efffee20d...
0da082ab1a49d158a6a73ecdfe3570ef.png,.png,png,353.76,520,691,False,False,,,,,,,a6ba0a0615289a60...
0dd5ff1beada1e1220f046271e8b6699.jpg,.jpg,jpg,23.5,546,692,False,False,,,,,,,3bb2a24fb494b890...
0e01da800bb5091a1572af9d141032f8.pdf,.pdf,pdf,273.1,,,False,False,,,,,,1,44747e41aa1ba825...
0e14e7acde90680759c18aee5c2993e2.pdf,.pdf,pdf,160.39,,,False,False,,,,,,1,b5c003ff31acdd4e...
0e1b03192228d2ee9a865b9f0831206f.jpg,.jpg,jpg,24.09,559,692,False,False,,,,,,,857ae05c4336e87c...
0e2adbe1c19c0b713ca90d9e26fa2ff9.jpg,.jpg,jpg,30.5,416,692,False,False,,,,,,,3b4fab419642149f...
0e2bb0972c436c20b8389aed6242c2ae.jpg,.jpg,png,270.65,565,692,False,False,,,,,,,f9dc8c52c7c7d415...
0e2f2e3b71b4eee54f010344b6ede955.pdf,.pdf,pdf,296.61,,,False,False,,,,,,1,9945b103558ff094...
0e40865acaaf900b23f0597e3c1d6534.pdf,.pdf,pdf,165.78,,,False,False,,,,,,1,0b56ec3f428e723f...
0e589f14ab9392a734e15fed4fbe1526.pdf,.pdf,pdf,2239.27,,,False,False,,,,,,1,d4eb5e6d8f6fe150...
0e5ffa587a56116f2a47db9baa542c6f.jpg,.jpg,jpg,35.45,570,762,False,False,,,,,,,8be1566501fbf492...
0e8a71f303d936a546543228c89bcb28.pdf,.pdf,pdf,444.66,,,False,False,,,,,,1,08e93601d0dc8db5...
0e993c837ca64ec8e5db210564f0b21a.pdf,.pdf,pdf,427.69,,,False,False,,,,,,1,5ae9c9fdcdd1abf8...
0e9e9fc9270cd3ae1120ac728ae7d232.png,.png,png,480.04,507,692,False,False,,,,,,,2b420a3315a440bc...
0ea4939d6ba000c1b383c9104d4c61cb.jpg,.jpg,jpg,39.77,539,692,False,False,,,,,,,d09edd9a3101a952...
0ec1c582f55b13afd9d59918da6c01c5.pdf,.pdf,pdf,254.67,,,False,False,,,,,,1,3695e258a463d570...
0f0323323021edc55fd81000b40be8d1.pdf,.pdf,pdf,328.37,,,False,False,,,,,,1,29ce2dcb19668d91...
0f0b424f9ed4409096604115758e03bb.pdf,.pdf,pdf,321.64,,,False,False,,,,,,1,31d406a97e68d361...
0f1123ec4e1c834406c987849136ea3b.pdf,.pdf,pdf,120.95,,,False,False,,,,,,1,40b8bbcd1d70c2a9...
0f27f70e096e652f3a14a2d1c4add7e0.pdf,.pdf,pdf,184.46,,,False,False,,,,,,1,98c187024ff68d82...
0f474b35d114a1e38e1ad392ce591c54.jpg,.jpg,jpg,114.11,1008,1148,False,False,,,,,,,5293e8d49a4652fa...
0f4de53d26f9160236521a99036c22b4.jpg,.jpg,jpg,32.74,526,692,False,False,,,,,,,5f78c936a3f839d7...
0f5b8dcc19a58fe152ab217d637bad85.jpg,.jpg,jpg,30.94,524,691,False,False,,,,,,,014a7e6be595dafe...
0f5c2f93aa5c91cb6e609f7afd3adcb4.jpg,.jpg,jpg,27.51,513,686,False,False,,,,,,,16fc6c3ea8f6008a...
0fb23ffecc044e49e0958e0663d845f7.pdf,.pdf,pdf,129.78,,,False,False,,,,,,1,0fcfc7fb901a3665...
